Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:35:36.490,45.7,42.9,2.69507,216.203,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:37.717,46.7,37.5,2.66926,217.43,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:38.946,45.7,37.5,2.69607,218.659,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:40.173,45.7,28.6,2.68657,219.886,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:41.394,45.7,37.5,2.69137,221.107,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:42.616,47.2,28.6,2.66296,222.329,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:43.837,46.2,37.5,2.68607,223.55,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:45.059,46.7,36.4,2.69742,224.772,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:46.251,47.2,40.0,2.69992,225.964,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:47.444,46.7,25.0,2.70488,227.157,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:48.635,47.7,0.0,2.67972,228.348,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:49.825,47.2,33.3,2.68982,229.538,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:51.041,47.7,16.7,2.65431,230.754,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:52.261,46.7,33.3,2.69752,231.974,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:53.483,46.7,37.5,2.67952,233.196,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:54.705,46.2,37.5,2.65496,234.418,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:55.938,47.2,37.5,2.65531,235.651,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:57.172,47.2,40.0,2.65106,236.885,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:58.396,47.2,33.4,2.67371,238.109,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:59.621,46.2,28.6,2.68032,239.334,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:36:00.841,46.2,33.4,2.70948,240.554,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
